Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
39,Jean-Paul Boetius,Feyenoord,24,19(9),1680,6,7,-,-,1.5,80.5,0.6,3,7.14
40,Dani Schahin,Roda,28,26(2),2289,10,2,5,-,2.8,65.2,6.1,3,7.14
41,Arber Zeneli,SC Heerenveen,23,22(2),1839,4,9,-,-,3.1,79.6,0.1,2,7.14
42,Abdenasser El Khayati,ADO Den Haag,29,34,2976,11,11,2,-,2,76.8,0.2,5,7.13
43,Yassin Ayoub,FC Utrecht,24,34,2867,6,7,5,1,1.5,80.4,0.4,3,7.13
44,Bjorn Johnsen,ADO Den Haag,26,31(5),2728,19,1,3,-,3.1,59.5,4.7,5,7.13
45,Ritsu Doan,FC Groningen,19,28(1),2296,9,3,3,-,1.5,80.8,0.3,3,7.12
46,Alexander Buttner,Vitesse,29,19(2),1709,-,8,3,-,1,78,0.9,1,7.12
47,Jurgen Mattheij,Excelsior,25,33,2970,-,2,7,-,0.7,76.5,3.8,1,7.11
48,Kevin Diks,Feyenoord,21,18(5),1694,-,4,1,-,0.8,84.7,1.6,-,7.11
49,Manu Garcia,NAC Breda,20,34,3024,1,2,4,-,0.8,78.7,0.2,3,7.10
50,Tom Beugelsdijk,ADO Den Haag,27,25(1),2244,2,-,7,-,0.5,71.5,4.2,1,7.10
41,Arber Zeneli,SC Heerenveen,23,22(2),1839,4,9,-,-,3.1,79.6,0.1,2,7.14
42,Abdenasser El Khayati,ADO Den Haag,29,34,2976,11,11,2,-,2,76.8,0.2,5,7.13
43,Yassin Ayoub,FC Utrecht,24,34,2867,6,7,5,1,1.5,80.4,0.4,3,7.13
44,Bjorn Johnsen,ADO Den Haag,26,31(5),2728,19,1,3,-,3.1,59.5,4.7,5,7.13
45,Ritsu Doan,FC Groningen,19,28(1),2296,9,3,3,-,1.5,80.8,0.3,3,7.12
46,Alexander Buttner,Vitesse,29,19(2),1709,-,8,3,-,1,78,0.9,1,7.12
47,Jurgen Mattheij,Excelsior,25,33,2970,-,2,7,-,0.7,76.5,3.8,1,7.11
48,Kevin Diks,Feyenoord,21,18(5),1694,-,4,1,-,0.8,84.7,1.6,-,7.11
49,Manu Garcia,NAC Breda,20,34,3024,1,2,4,-,0.8,78.7,0.2,3,7.10
50,Tom Beugelsdijk,ADO Den Haag,27,25(1),2244,2,-,7,-,0.5,71.5,4.2,1,7.10
51,Willem Janssen,FC Utrecht,31,36,3196,4,-,9,-,1.2,82.9,4.6,4,7.10
52,Lex Immers,ADO Den Haag,31,35,3106,4,5,9,-,1.2,75.3,3.5,1,7.09
53,Denzel Dumfries,SC Heerenveen,22,35,3120,4,7,8,-,0.8,76,1.9,1,7.09
54,Sergio Padt,FC Groningen,28,34,3060,-,-,1,-,-,50.3,0.5,4,7.09
55,Julian Chabot,Sparta Rotterdam,20,18(2),1566,2,1,4,1,0.3,74.4,3.5,2,7.08
56,Tim Matavz,Vitesse,29,31(3),2736,16,1,2,-,2.5,50.8,3.5,3,7.08
57,Jamiro Monteiro,Heracles,24,30(4),2798,4,3,4,-,1.8,87.7,0.3,2,7.08
58,Matthijs de Ligt,Ajax,18,33,2913,3,2,8,-,1,89.3,3.1,-,7.07
59,Luigi Bruins,Excelsior,31,24(3),2107,5,2,4,1,0.9,79.9,2,2,7.07
60,Daniel Schwaab,PSV Eindhoven,29,31,2790,2,2,1,-,0.6,82.2,2.3,-,7.06
51,Willem Janssen,FC Utrecht,31,36,3196,4,-,9,-,1.2,82.9,4.6,4,7.10
52,Lex Immers,ADO Den Haag,31,35,3106,4,5,9,-,1.2,75.3,3.5,1,7.09
53,Denzel Dumfries,SC Heerenveen,22,35,3120,4,7,8,-,0.8,76,1.9,1,7.09
54,Sergio Padt,FC Groningen,28,34,3060,-,-,1,-,-,50.3,0.5,4,7.09
55,Julian Chabot,Sparta Rotterdam,20,18(2),1566,2,1,4,1,0.3,74.4,3.5,2,7.08
56,Tim Matavz,Vitesse,29,31(3),2736,16,1,2,-,2.5,50.8,3.5,3,7.08
57,Jamiro Monteiro,Heracles,24,30(4),2798,4,3,4,-,1.8,87.7,0.3,2,7.08
58,Matthijs de Ligt,Ajax,18,33,2913,3,2,8,-,1,89.3,3.1,-,7.07
59,Luigi Bruins,Excelsior,31,24(3),2107,5,2,4,1,0.9,79.9,2,2,7.07
60,Daniel Schwaab,PSV Eindhoven,29,31,2790,2,2,1,-,0.6,82.2,2.3,-,7.06
61,Sven van Beek,Feyenoord,23,19(1),1747,-,1,2,-,0.3,87.6,2.5,-,7.06
62,Jan-Arie van der Heijden,Feyenoord,30,18,1614,-,-,7,-,0.3,89.3,2.8,1,7.06
63,Clint Leemans,VVV-Venlo,22,33,2939,10,4,5,-,2.1,77.6,1.5,2,7.05
64,Konstantinos Tsimikas,Willem II,22,32(1),2813,3,3,3,-,0.6,70,1.1,1,7.05
65,Ridgeciano Haps,Feyenoord,24,22(1),1717,-,1,3,-,0.3,84.9,0.8,1,7.04
66,Stijn Schaars,SC Heerenveen,34,29,2580,3,3,5,-,0.9,80.2,1.8,1,7.04
67,Jeroen Zoet,PSV Eindhoven,27,32,2879,-,-,1,-,-,58.9,0.3,1,7.04
68,Stijn Wuytens,AZ Alkmaar,28,29,2533,-,1,6,-,0.8,90.1,2.3,1,7.00
69,Gyrano Kerk,FC Utrecht,22,32(2),2718,6,5,5,-,1.8,69.2,0.5,2,6.99
70,Oussama Assaidi,Twente,29,24(1),1975,6,3,4,-,1.9,87.6,0.1,2,6.99
61,Sven van Beek,Feyenoord,23,19(1),1747,-,1,2,-,0.3,87.6,2.5,-,7.06
62,Jan-Arie van der Heijden,Feyenoord,30,18,1614,-,-,7,-,0.3,89.3,2.8,1,7.06
63,Clint Leemans,VVV-Venlo,22,33,2939,10,4,5,-,2.1,77.6,1.5,2,7.05
64,Konstantinos Tsimikas,Willem II,22,32(1),2813,3,3,3,-,0.6,70,1.1,1,7.05
65,Ridgeciano Haps,Feyenoord,24,22(1),1717,-,1,3,-,0.3,84.9,0.8,1,7.04
66,Stijn Schaars,SC Heerenveen,34,29,2580,3,3,5,-,0.9,80.2,1.8,1,7.04
67,Jeroen Zoet,PSV Eindhoven,27,32,2879,-,-,1,-,-,58.9,0.3,1,7.04
68,Stijn Wuytens,AZ Alkmaar,28,29,2533,-,1,6,-,0.8,90.1,2.3,1,7.00
69,Gyrano Kerk,FC Utrecht,22,32(2),2718,6,5,5,-,1.8,69.2,0.5,2,6.99
70,Oussama Assaidi,Twente,29,24(1),1975,6,3,4,-,1.9,87.6,0.1,2,6.99
71,Guus Til,AZ Alkmaar,20,33,2829,9,3,4,-,2.1,82.7,0.6,-,6.99
72,Lennart Thy,VVV-Venlo,26,32,2857,7,5,-,-,2,68.4,3.3,1,6.98
73,Samir Memisevic,FC Groningen,24,28(1),2430,1,-,5,-,0.5,79.2,4.4,1,6.98
74,Aaron Meijers,ADO Den Haag,30,35,3150,1,1,8,-,0.5,70.6,1.7,-,6.98
75,Chris Kum,Roda,32,19,1666,2,1,1,-,0.4,76.6,2.1,1,6.98
76,Fran Sol,Willem II,26,32,2866,16,5,3,-,2.5,73.3,2.9,1,6.98
77,Matt Miazga,Vitesse,22,33(3),3000,4,-,8,-,1,83.8,4.3,2,6.98
78,Mike van Duinen,Excelsior,26,26(3),2412,8,3,6,-,2,58.3,3.5,1,6.97
79,Jordy de Wijs,Excelsior,23,18(1),1654,-,-,5,-,0.7,76.9,3.4,2,6.95
80,Mimoun Mahi,FC Groningen,24,23(3),2039,7,5,1,-,2.6,73.8,0.3,1,6.95
71,Guus Til,AZ Alkmaar,20,33,2829,9,3,4,-,2.1,82.7,0.6,-,6.99
72,Lennart Thy,VVV-Venlo,26,32,2857,7,5,-,-,2,68.4,3.3,1,6.98
73,Samir Memisevic,FC Groningen,24,28(1),2430,1,-,5,-,0.5,79.2,4.4,1,6.98
74,Aaron Meijers,ADO Den Haag,30,35,3150,1,1,8,-,0.5,70.6,1.7,-,6.98
75,Chris Kum,Roda,32,19,1666,2,1,1,-,0.4,76.6,2.1,1,6.98
76,Fran Sol,Willem II,26,32,2866,16,5,3,-,2.5,73.3,2.9,1,6.98
77,Matt Miazga,Vitesse,22,33(3),3000,4,-,8,-,1,83.8,4.3,2,6.98
78,Mike van Duinen,Excelsior,26,26(3),2412,8,3,6,-,2,58.3,3.5,1,6.97
79,Jordy de Wijs,Excelsior,23,18(1),1654,-,-,5,-,0.7,76.9,3.4,2,6.95
80,Mimoun Mahi,FC Groningen,24,23(3),2039,7,5,1,-,2.6,73.8,0.3,1,6.95
81,Thomas Ouwejan,AZ Alkmaar,21,30(1),2545,-,1,1,-,1.1,84.4,0.3,-,6.95
82,Ben Rienstra,Willem II,28,30,2682,10,2,2,-,1.6,74.6,1.3,1,6.94
83,Nicolas Isimat-Mirin,PSV Eindhoven,26,32,2877,1,1,4,-,0.3,86.8,2.5,1,6.94
84,Robin Propper,Heracles,24,25(1),2204,3,1,4,1,0.9,82.6,3,1,6.94
85,Jens Toornstra,Feyenoord,29,26(6),2297,8,10,3,-,1.6,80.2,0.2,2,6.94
86,Arno Verschueren,NAC Breda,21,26,2180,1,-,8,-,0.6,75.2,2.5,-,6.93
87,Daniel Hegh,SC Heerenveen,27,36,3240,3,1,3,-,0.7,86.6,3,1,6.93
88,Simon Gustafson,Roda,23,33,2942,10,6,5,-,1.8,82.1,0.4,1,6.93
89,Bartholomew Ogbeche,Willem II,33,13(7),1216,10,1,5,-,2.2,70.3,2.7,3,6.93
90,Danny Bakker,ADO Den Haag,23,36,3213,-,1,2,-,0.8,77.3,2.7,-,6.92
81,Thomas Ouwejan,AZ Alkmaar,21,30(1),2545,-,1,1,-,1.1,84.4,0.3,-,6.95
82,Ben Rienstra,Willem II,28,30,2682,10,2,2,-,1.6,74.6,1.3,1,6.94
83,Nicolas Isimat-Mirin,PSV Eindhoven,26,32,2877,1,1,4,-,0.3,86.8,2.5,1,6.94
84,Robin Propper,Heracles,24,25(1),2204,3,1,4,1,0.9,82.6,3,1,6.94
85,Jens Toornstra,Feyenoord,29,26(6),2297,8,10,3,-,1.6,80.2,0.2,2,6.94
86,Arno Verschueren,NAC Breda,21,26,2180,1,-,8,-,0.6,75.2,2.5,-,6.93
87,Daniel Hegh,SC Heerenveen,27,36,3240,3,1,3,-,0.7,86.6,3,1,6.93
88,Simon Gustafson,Roda,23,33,2942,10,6,5,-,1.8,82.1,0.4,1,6.93
89,Bartholomew Ogbeche,Willem II,33,13(7),1216,10,1,5,-,2.2,70.3,2.7,3,6.93
90,Danny Bakker,ADO Den Haag,23,36,3213,-,1,2,-,0.8,77.3,2.7,-,6.92
91,Thulani Serero,Vitesse,28,32(1),2652,2,-,3,-,0.3,88.6,0.3,1,6.91
92,Vincent Vermeij,Heracles,23,14(10),1344,8,1,1,-,1.5,62.6,5.1,1,6.91
93,Thierry Ambrose,NAC Breda,21,30,2372,10,4,4,-,1.9,67.6,3,1,6.91
94,Mike te Wierik,FC Groningen,25,33,2938,1,-,8,-,0.5,80.9,1.7,-,6.90
95,Mikhail Rosheuvel,Roda,27,32(1),2776,2,5,1,1,1,77.4,0.3,3,6.90
96,Stefan Thesker,Twente,27,18,1608,3,-,5,1,0.8,77.9,3.1,3,6.89
97,Vito van Crooij,VVV-Venlo,22,27(4),2464,5,5,6,-,2.2,69.5,1.4,1,6.89
98,Juninho Bacuna,FC Groningen,20,28(5),2594,1,4,5,-,2,74.3,1.3,1,6.89
99,Danny Post,VVV-Venlo,29,19(1),1667,-,2,8,-,0.2,71.3,2.1,1,6.89
100,Kik Pierie,SC Heerenveen,17,33,2735,-,2,6,-,0.2,84.1,1.8,-,6.88
91,Thulani Serero,Vitesse,28,32(1),2652,2,-,3,-,0.3,88.6,0.3,1,6.91
92,Vincent Vermeij,Heracles,23,14(10),1344,8,1,1,-,1.5,62.6,5.1,1,6.91
93,Thierry Ambrose,NAC Breda,21,30,2372,10,4,4,-,1.9,67.6,3,1,6.91
94,Mike te Wierik,FC Groningen,25,33,2938,1,-,8,-,0.5,80.9,1.7,-,6.90
95,Mikhail Rosheuvel,Roda,27,32(1),2776,2,5,1,1,1,77.4,0.3,3,6.90
96,Stefan Thesker,Twente,27,18,1608,3,-,5,1,0.8,77.9,3.1,3,6.89
97,Vito van Crooij,VVV-Venlo,22,27(4),2464,5,5,6,-,2.2,69.5,1.4,1,6.89
98,Juninho Bacuna,FC Groningen,20,28(5),2594,1,4,5,-,2,74.3,1.3,1,6.89
99,Danny Post,VVV-Venlo,29,19(1),1667,-,2,8,-,0.2,71.3,2.1,1,6.89
100,Kik Pierie,SC Heerenveen,17,33,2735,-,2,6,-,0.2,84.1,1.8,-,6.88
101,Adil Auassar,Roda,31,27(2),2409,2,3,3,2,0.4,71.4,2.3,2,6.88
102,Philippe Sandler,PEC Zwolle,21,22(1),2014,-,-,4,-,0.6,85,1.6,1,6.88
103,Django Warmerdam,FC Groningen,22,28(2),2516,1,-,6,-,0.6,80.2,1.7,-,6.88
104,Andre Onana,Ajax,22,33,2970,-,-,3,-,-,73.1,0.2,-,6.88
105,Thom Haye,Willem II,23,28(5),2476,2,1,4,-,2,72.2,1.4,-,6.87
106,Lars Unnerstall,VVV-Venlo,27,32,2880,-,-,1,-,-,50.4,0.4,3,6.87
107,Fernando Lewis,Willem II,25,21(6),1892,-,3,4,-,0.5,71,1.9,3,6.87
108,Tsiy William Ndenge,Roda,20,23(9),2237,2,2,1,-,1.1,79.6,1.2,-,6.87
109,Diederik Boer,PEC Zwolle,37,33,2970,-,-,1,-,-,62.8,0.2,-,6.87
110,Bram van Polen,PEC Zwolle,32,29,2610,3,1,6,-,0.8,84.2,1.6,2,6.86
101,Adil Auassar,Roda,31,27(2),2409,2,3,3,2,0.4,71.4,2.3,2,6.88
102,Philippe Sandler,PEC Zwolle,21,22(1),2014,-,-,4,-,0.6,85,1.6,1,6.88
103,Django Warmerdam,FC Groningen,22,28(2),2516,1,-,6,-,0.6,80.2,1.7,-,6.88
104,Andre Onana,Ajax,22,33,2970,-,-,3,-,-,73.1,0.2,-,6.88
105,Thom Haye,Willem II,23,28(5),2476,2,1,4,-,2,72.2,1.4,-,6.87
106,Lars Unnerstall,VVV-Venlo,27,32,2880,-,-,1,-,-,50.4,0.4,3,6.87
107,Fernando Lewis,Willem II,25,21(6),1892,-,3,4,-,0.5,71,1.9,3,6.87
108,Tsiy William Ndenge,Roda,20,23(9),2237,2,2,1,-,1.1,79.6,1.2,-,6.87
109,Diederik Boer,PEC Zwolle,37,33,2970,-,-,1,-,-,62.8,0.2,-,6.87
110,Bram van Polen,PEC Zwolle,32,29,2610,3,1,6,-,0.8,84.2,1.6,2,6.86
111,Robert Zwinkels,ADO Den Haag,35,30,2653,-,-,2,-,-,60.9,0.2,2,6.85
112,Pablo Mari,NAC Breda,24,30(1),2673,3,-,8,-,0.8,80.6,2.4,-,6.84
113,Pantelis Hatzidiakos,AZ Alkmaar,21,24(2),2113,1,1,3,-,0.2,89.8,1.1,-,6.84
114,Ryan Koolwijk,Excelsior,32,28,2429,2,1,8,-,0.8,78.8,1.5,-,6.84
115,Maximilian Wober,Ajax,20,16(6),1230,1,-,2,-,0.8,88.2,1.9,-,6.84
116,Bram Castro,Heracles,35,34,3060,-,-,-,-,-,59.9,0.1,2,6.83
117,Tyronne Ebuehi,ADO Den Haag,22,28,2375,-,2,1,1,0.2,79.2,1.3,1,6.83
118,Mark van der Maarel,FC Utrecht,28,31(3),2800,6,-,4,-,0.8,77.5,1.4,2,6.83
119,Kingsley Ehizibue,PEC Zwolle,23,33,2943,1,1,7,-,0.5,80.9,1.4,-,6.83
120,Sean Klaiber,FC Utrecht,23,35(1),3145,1,2,6,-,0.9,76.1,0.7,-,6.83
111,Robert Zwinkels,ADO Den Haag,35,30,2653,-,-,2,-,-,60.9,0.2,2,6.85
112,Pablo Mari,NAC Breda,24,30(1),2673,3,-,8,-,0.8,80.6,2.4,-,6.84
113,Pantelis Hatzidiakos,AZ Alkmaar,21,24(2),2113,1,1,3,-,0.2,89.8,1.1,-,6.84
114,Ryan Koolwijk,Excelsior,32,28,2429,2,1,8,-,0.8,78.8,1.5,-,6.84
115,Maximilian Wober,Ajax,20,16(6),1230,1,-,2,-,0.8,88.2,1.9,-,6.84
116,Bram Castro,Heracles,35,34,3060,-,-,-,-,-,59.9,0.1,2,6.83
117,Tyronne Ebuehi,ADO Den Haag,22,28,2375,-,2,1,1,0.2,79.2,1.3,1,6.83
118,Mark van der Maarel,FC Utrecht,28,31(3),2800,6,-,4,-,0.8,77.5,1.4,2,6.83
119,Kingsley Ehizibue,PEC Zwolle,23,33,2943,1,1,7,-,0.5,80.9,1.4,-,6.83
120,Sean Klaiber,FC Utrecht,23,35(1),3145,1,2,6,-,0.9,76.1,0.7,-,6.83
121,Moreno Rutten,VVV-Venlo,25,30,2616,-,1,4,-,0.5,72.4,1.3,1,6.83
122,Mats Seuntjens,AZ Alkmaar,26,15(16),1613,3,4,3,-,1.3,84.3,0.3,-,6.82
123,Sander van de Streek,FC Utrecht,25,31(6),2772,10,6,4,-,1.8,69.7,2.5,3,6.81
124,Ryan Sanusi,Sparta Rotterdam,26,32(1),2788,1,1,4,-,0.9,79.5,1.2,1,6.81
125,Danny Holla,Twente,30,23(2),1981,2,4,5,-,1.5,76.4,0.8,-,6.81
126,Yuki Kobayashi,SC Heerenveen,26,32,2721,2,-,2,-,1.2,82.5,0.6,-,6.81
127,Roel Janssen,VVV-Venlo,27,22(3),1978,-,-,4,-,0.2,74,1.1,-,6.80
128,Tom van Weert,FC Groningen,28,24(7),2153,12,1,2,1,1.8,64,2.7,2,6.80
129,Robert Muhren,Sparta Rotterdam,29,25(3),2135,7,4,2,-,2.5,60.5,2,2,6.80
130,Marco Bizot,AZ Alkmaar,27,34,3060,-,1,-,-,-,66,0.3,1,6.80
121,Moreno Rutten,VVV-Venlo,25,30,2616,-,1,4,-,0.5,72.4,1.3,1,6.83
122,Mats Seuntjens,AZ Alkmaar,26,15(16),1613,3,4,3,-,1.3,84.3,0.3,-,6.82
123,Sander van de Streek,FC Utrecht,25,31(6),2772,10,6,4,-,1.8,69.7,2.5,3,6.81
124,Ryan Sanusi,Sparta Rotterdam,26,32(1),2788,1,1,4,-,0.9,79.5,1.2,1,6.81
125,Danny Holla,Twente,30,23(2),1981,2,4,5,-,1.5,76.4,0.8,-,6.81
126,Yuki Kobayashi,SC Heerenveen,26,32,2721,2,-,2,-,1.2,82.5,0.6,-,6.81
127,Roel Janssen,VVV-Venlo,27,22(3),1978,-,-,4,-,0.2,74,1.1,-,6.80
128,Tom van Weert,FC Groningen,28,24(7),2153,12,1,2,1,1.8,64,2.7,2,6.80
129,Robert Muhren,Sparta Rotterdam,29,25(3),2135,7,4,2,-,2.5,60.5,2,2,6.80
130,Marco Bizot,AZ Alkmaar,27,34,3060,-,1,-,-,-,66,0.3,1,6.80
131,Roy Kortsmit,Sparta Rotterdam,25,19,1672,-,-,1,-,-,45.9,0.2,-,6.80
132,Mattijs Branderhorst,Willem II,24,20,1756,-,-,1,-,-,47.4,0.4,1,6.80
133,Kenneth Dougall,Sparta Rotterdam,25,29,2510,1,-,6,-,0.4,79,1.2,2,6.79
134,Wilfried Kanon,ADO Den Haag,24,25,2039,1,1,-,2,0.4,77.2,1.8,-,6.79
135,Thomas Bruns,Vitesse,26,22(10),2050,3,3,7,-,1.2,75.1,0.7,-,6.78
136,Kristoffer Peterson,Heracles,23,28(5),2478,7,3,1,-,2.3,79.6,0.8,2,6.78
137,Fankaty Dabo,Vitesse,22,24(3),2119,-,2,3,-,0.1,77.8,0.9,-,6.78
138,Fabian Sporkslede,NAC Breda,24,20(2),1840,-,-,4,-,0.2,83,0.7,-,6.77
139,Morten Thorsby,SC Heerenveen,22,28(5),2469,6,2,5,1,1,79.7,2.9,3,6.76
140,Jeff Hardeveld,Heracles,23,18,1540,2,-,2,-,0.6,77,1.2,-,6.76
131,Roy Kortsmit,Sparta Rotterdam,25,19,1672,-,-,1,-,-,45.9,0.2,-,6.80
132,Mattijs Branderhorst,Willem II,24,20,1756,-,-,1,-,-,47.4,0.4,1,6.80
133,Kenneth Dougall,Sparta Rotterdam,25,29,2510,1,-,6,-,0.4,79,1.2,2,6.79
134,Wilfried Kanon,ADO Den Haag,24,25,2039,1,1,-,2,0.4,77.2,1.8,-,6.79
135,Thomas Bruns,Vitesse,26,22(10),2050,3,3,7,-,1.2,75.1,0.7,-,6.78
