Team,Points,Image
Lesotho,172,//img.fifa.com/images/flags/4/mdv.png
Liberia,167,//img.fifa.com/images/flags/4/eth.png
Kosovo,164,//img.fifa.com/images/flags/4/dom.png
Solomon Islands,162,//img.fifa.com/images/flags/4/sur.png
Suriname,140,//img.fifa.com/images/flags/4/ncl.png
Vanuatu,136,//img.fifa.com/images/flags/4/mri.png
New Caledonia,135,//img.fifa.com/images/flags/4/ssd.png
South Sudan,130,//img.fifa.com/images/flags/4/tah.png
Barbados,129,//img.fifa.com/images/flags/4/lbr.png
Puerto Rico,128,//img.fifa.com/images/flags/4/kuw.png
Kuwait,126,//img.fifa.com/images/flags/4/brb.png
Mauritius,124,//img.fifa.com/images/flags/4/nep.png
Tahiti,117,//img.fifa.com/images/flags/4/van.png
Grenada,113,//img.fifa.com/images/flags/4/blz.png
Indonesia,111,//img.fifa.com/images/flags/4/idn.png
Guyana,111,//img.fifa.com/images/flags/4/fij.png
Nepal,111,//img.fifa.com/images/flags/4/cam.png
Fiji,110,//img.fifa.com/images/flags/4/png.png
Chad,108,//img.fifa.com/images/flags/4/grn.png
Belize,107,//img.fifa.com/images/flags/4/sin.png
Cambodia,105,//img.fifa.com/images/flags/4/lca.png
Malaysia,104,//img.fifa.com/images/flags/4/mas.png
Singapore,102,//img.fifa.com/images/flags/4/gam.png
Moldova,98,//img.fifa.com/images/flags/4/vin.png
St Lucia,95,//img.fifa.com/images/flags/4/pur.png
Gambia,94,//img.fifa.com/images/flags/4/cha.png
St Vincent and the Grenadines,91,//img.fifa.com/images/flags/4/mda.png
Dominica,86,//img.fifa.com/images/flags/4/dma.png
Bermuda,82,//img.fifa.com/images/flags/4/ber.png
Laos,80,//img.fifa.com/images/flags/4/lao.png
Papua New Guinea,78,//img.fifa.com/images/flags/4/lie.png
Liechtenstein,77,//img.fifa.com/images/flags/4/cub.png
Cuba,75,//img.fifa.com/images/flags/4/guy.png
Aruba,75,//img.fifa.com/images/flags/4/bhu.png
Bhutan,68,//img.fifa.com/images/flags/4/mlt.png
Malta,62,//img.fifa.com/images/flags/4/mac.png
Macau,60,//img.fifa.com/images/flags/4/mng.png
S,59,//img.fifa.com/images/flags/4/stp.png
Mongolia,51,//img.fifa.com/images/flags/4/sey.png
Guam,45,//img.fifa.com/images/flags/4/aru.png
Timor-Leste,44,//img.fifa.com/images/flags/4/gum.png
American Samoa,38,//img.fifa.com/images/flags/4/tls.png
Cook Islands,38,//img.fifa.com/images/flags/4/asa.png
Samoa,38,//img.fifa.com/images/flags/4/cok.png
Seychelles,37,//img.fifa.com/images/flags/4/ban.png
Brunei Darussalam,36,//img.fifa.com/images/flags/4/gib.png
Gibraltar,34,//img.fifa.com/images/flags/4/bru.png
Bangladesh,33,//img.fifa.com/images/flags/4/dji.png
Djibouti,27,//img.fifa.com/images/flags/4/sam.png
US Virgin Islands,18,//img.fifa.com/images/flags/4/vir.png
Montserrat,17,//img.fifa.com/images/flags/4/sri.png
Sri Lanka,17,//img.fifa.com/images/flags/4/pak.png
Turks and Caicos Islands,13,//img.fifa.com/images/flags/4/cay.png
Pakistan,10,//img.fifa.com/images/flags/4/smr.png
Cayman Islands,8,//img.fifa.com/images/flags/4/vgb.png
San Marino,8,//img.fifa.com/images/flags/4/msr.png
British Virgin Islands,4,//img.fifa.com/images/flags/4/tca.png
Anguilla,0,//img.fifa.com/images/flags/4/aia.png
Bahamas,0,//img.fifa.com/images/flags/4/bah.png
Eritrea,0,//img.fifa.com/images/flags/4/eri.png
Somalia,0,//img.fifa.com/images/flags/4/som.png
Tonga,0,//img.fifa.com/images/flags/4/tga.png
