nationality,player
Sweden,Robin Olsen
Sweden,Karl-Johan Johnsson
Sweden,Kristoffer Nordfeldt
Sweden,Mikael Lustig
Sweden,Victor Lindelof
Sweden,Andreas Granqvist
Sweden,Martin Olsson
Sweden,Ludwig Augustinsson
Sweden,Filip Helander
Sweden,Emil Krafth
Sweden,Pontus Jansson
Sweden,Sebastian Larsson
Sweden,Albin Ekdal
Sweden,Emil Forsberg
Sweden,Gustav Svensson
Sweden,Oscar Hiljemark
Sweden,Viktor Claesson
Sweden,Marcus Rohden
Sweden,Jimmy Durmaz
Sweden,Marcus Berg
Sweden,John Guidetti
Sweden,Ola Toivonen
Sweden,Isaac Kiese Thelin
South Korea,Kim Seunggyu
South Korea,Kim Jinhyeon
South Korea,Cho Hyeonwoo
South Korea,Kim Younggwon
South Korea,Jang Hyunsoo
South Korea,Jeong Seunghyeon
South Korea,Yun Yeongseon
South Korea,Oh Bansuk
South Korea,Kim Minwoo
South Korea,Park Jooho
South Korea,Hong Chul
South Korea,Go Yohan
South Korea,Lee Yong
South Korea,Ki Sungyueng
South Korea,Jeong Wooyoung
South Korea,Ju Sejong
South Korea,Koo Jacheol
South Korea,Lee Jaesung
South Korea,Lee Seungwoo
South Korea,Moon Sunmin
South Korea,Kim Shinwook
South Korea,Son Heungmin
South Korea,Hwang Heechan
Belgium,Koen Casteels
Belgium,Thibaut Courtois
Belgium,Simon Mignolet
Belgium,Toby Alderweireld
Belgium,Dedryck Boyata
Belgium,Vincent Kompany
Belgium,Thomas Meunier
Belgium,Thomas Vermaelen
Belgium,Jan Vertonghen
Belgium,Nacer Chadli
Belgium,Kevin De Bruyne
Belgium,Mousa Dembele
Belgium,Leander Dendoncker
Belgium,Marouane Fellaini
Belgium,Youri Tielemans
Belgium,Axel Witsel
Belgium,Michy Batshuayi
Belgium,Yannick Carrasco
Belgium,Eden Hazard
Belgium,Thorgan Hazard
Belgium,Adnan Januzaj
Belgium,Romelu Lukaku
Belgium,Dries Mertens
Panama,Jose Calderon
Panama,Jaime Penedo
Panama,Alex Rodr
Tunisia,Farouk Ben Mustapha
Tunisia,Moez Hassen
Tunisia,Aymen Mathlouthi
Tunisia,Rami Bedoui
Tunisia,Yohan Benalouane
Tunisia,Syam Ben Youssef
Tunisia,Dylan Bronn
Tunisia,Oussama Haddadi
Tunisia,Ali Maaloul
Tunisia,Yassine Meriah
Tunisia,Hamdi Nagguez
Tunisia,Anice Badri
Tunisia,Mohamed Amine Ben Amor
Tunisia,Ghaylene Chaalali
Tunisia,Ahmed Khalil
Tunisia,Saifeddine Khaoui
Tunisia,Ferjani Sassi
Tunisia,Ellyes Skhiri
Tunisia,Naim Sliti
Tunisia,Bassem Srarfi
Tunisia,Fakhreddine Ben Youssef
Tunisia,Saber Khalifa
Tunisia,Wahbi Khazri
England,Jack Butland
England,Nick Pope
England,Jordan Pickford
England,Fabian Delph
England,Danny Rose
England,Eric Dier
England,Kyle Walker
England,Kieran Trippier
England,Trent Alexander-Arnold
England,Harry Maguire
England,John Stones
England,Phil Jones
England,Gary Cahill
England,Jordan Henderson
England,Jesse Lingard
England,Ruben Loftus-Cheek
England,Ashley Young
England,Dele Alli
England,Raheem Sterling
England,Harry Kane
England,Jamie Vardy
England,Marcus Rashford
England,Danny Welbeck
Poland,Bartosz Bialkowski
Poland,Lukasz Fabianski
Poland,Wojciech Szczesny
Poland,Jan Bednarek
Poland,Bartosz Bereszynski
Poland,Thiago Cionek
Poland,Kamil Glik
Poland,Artur Jedrzejczyk
Poland,Michal Pazdan
Poland,Lukasz Piszczek
Poland,Jakub Blaszczykowski
Poland,Jacek Goralski
Poland,Kamil Goricki
Poland,Grzegorz Krychowiak
Poland,Slawomir Peszko
Poland,Maciej Rybus
Poland,Piotr Zielinski
Poland,Rafal Kurzawa
Poland,Karol Linetty
Poland,Dawid Kownacki
Poland,Robert Lewandowski
Poland,Arkadiusz Milik
Poland,Lukasz Teodorczyk
Senegal,Abdoulaye Diallo
Senegal,Khadim Ndiaye
Senegal,Alfred Gomis
Senegal,Lamine Gassama
Senegal,Moussa Wague
Senegal,Saliou Ciss
Senegal,Youssouf Sabaly
Senegal,Kalidou Kalidou
Senegal,Salif Sane
Senegal,Cheikhou Kouyate
Senegal,Kara Mbodji
Senegal,Idrisa Gana Gueye
Senegal,Cheikh Ndoye
Senegal,Alfred Ndiaye
Senegal,Pape Alioune Ndiaye
Senegal,Moussa Sow
Senegal,Moussa Konate
Senegal,Diafra Sakho
Senegal,Sadio Mane
Senegal,Ismaila Sarr
Senegal,Mame Biram Diouf
Senegal,Mbaye Niang
Senegal,Diao Keita Balde
Colombia,David Ospina
Colombia,Camilo Vargas
Colombia,Jose Fernando Cuadrado
Colombia,Cristian Zapata
Colombia,Davinson Sanchez
Colombia,Santiago Arias
Colombia,Oscar Murillo
Colombia,Frank Fabra
Colombia,Johan Mojica
Colombia,Yerry Mina
Colombia,Wilmar Barrios
Colombia,Carlos Sanchez
Colombia,Jefferson Lerma
Colombia,Jose Izquierdo
Colombia,James Rodriguez
Colombia,Abel Aguilar
Colombia,Juan Fernando Quintero
Colombia,Mateus Uribe
Colombia,Juan Guillermo Cuadrado
Colombia,Radamel Falcao Garcia
Colombia,Miguel Borja
Colombia,Carlos Bacca
Colombia,Luis Fernando Muriel
Japan,Eiji Kawashima
Japan,Masaaki Higashiguchi
Japan,Kosuke Nakamura
Japan,Yuto Nagatomo
Japan,Tomoaki Makino
Japan,Maya Yoshida
Japan,Hiroki Sakai
Japan,Gotoku Sakai
Japan,Gen Shoji
Japan,Wataru Endo
Japan,Naomichi Ueda
Japan,Makoto Hasebe
Japan,Keisuke Honda
Japan,Takashi Inui
Japan,Shinji Kagawa
Japan,Hotaru Yamaguchi
Japan,Genki Haraguchi
Japan,Takashi Usami
Japan,Gaku Shibasaki
Japan,Ryota Oshima
Japan,Shinji Okazaki
Japan,Yuya Osako
Japan,Yoshinori Muto
Argentina,Nahuel Guzm�n
Argentina,Willy Caballero
Argentina,Franco Armani
Argentina,Gabriel Mercado
Argentina,Nicolas Otamendi
Argentina,Federico Fazio
Argentina,Nicolas Tagliafico
Argentina,Marcos Rojo
Argentina,Marcos Acuna
Argentina,Cristian Ansaldi
Argentina,Eduardo Salvio; Javier Mascherano
Argentina,Angel Di Maria
Argentina,Ever Banega
Argentina,Lucas Biglia
Argentina,Manuel Lanzini
Argentina,Gio Lo Celso
Argentina,Maximiliano Meza
Argentina,Lionel Messi
Argentina,Sergio Aguero
Argentina,Gonzalo Higuain
Argentina,Paulo Dybala
Argentina,Cristian Pavon
