"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2008","Greece","Proportion of population aged 60-79 years","19.6",""
"2008","Greece","Proportion of population aged 80 years and more","4.5",""
"2008","Spain","Median age of population","39.2",""
"2008","Spain","Proportion of population aged 0-19 years","19.7",""
"2008","Spain","Proportion of population aged 20-39 years","31.7",""
"2008","Spain","Proportion of population aged 40-59 years","27.1",""
"2008","Spain","Proportion of population aged 60-79 years","17.0",""
"2008","Spain","Proportion of population aged 80 years and more","4.5",""
"2008","France","Median age of population","39.3",""
"2008","France","Proportion of population aged 0-19 years","24.9",""
"2008","France","Proportion of population aged 20-39 years","26.0",""
"2008","France","Proportion of population aged 40-59 years","27.4",""
"2008","France","Proportion of population aged 60-79 years","16.8",""
"2008","France","Proportion of population aged 80 years and more","4.9",""
"2008","Croatia","Median age of population","41.5",""
"2008","Croatia","Proportion of population aged 0-19 years","21.4",""
"2008","Croatia","Proportion of population aged 20-39 years","26.5",""
"2008","Croatia","Proportion of population aged 40-59 years","29.1",""
"2008","Croatia","Proportion of population aged 60-79 years","19.7",""
"2008","Croatia","Proportion of population aged 80 years and more","3.4",""
"2008","Italy","Median age of population","42.7",""
"2008","Italy","Proportion of population aged 0-19 years","19.1",""
"2008","Italy","Proportion of population aged 20-39 years","26.5",""
"2008","Italy","Proportion of population aged 40-59 years","28.4",""
"2008","Italy","Proportion of population aged 60-79 years","20.5",""
"2008","Italy","Proportion of population aged 80 years and more","5.5",""
"2008","Cyprus","Median age of population","35.4",""
"2008","Cyprus","Proportion of population aged 0-19 years","26.1",""
"2008","Cyprus","Proportion of population aged 20-39 years","30.3",""
"2008","Cyprus","Proportion of population aged 40-59 years","26.3",""
"2008","Cyprus","Proportion of population aged 60-79 years","14.4",""
"2008","Cyprus","Proportion of population aged 80 years and more","2.8",""
"2008","Latvia","Median age of population","39.9",""
"2008","Latvia","Proportion of population aged 0-19 years","21.4",""
"2008","Latvia","Proportion of population aged 20-39 years","28.6",""
"2008","Latvia","Proportion of population aged 40-59 years","27.3",""
"2008","Latvia","Proportion of population aged 60-79 years","19.1",""
"2008","Latvia","Proportion of population aged 80 years and more","3.6",""
"2008","Lithuania","Median age of population","39.6",""
"2008","Lithuania","Proportion of population aged 0-19 years","23.0",""
"2008","Lithuania","Proportion of population aged 20-39 years","27.6",""
"2008","Lithuania","Proportion of population aged 40-59 years","27.6",""
"2008","Lithuania","Proportion of population aged 60-79 years","18.2",""
"2008","Lithuania","Proportion of population aged 80 years and more","3.6",""
"2008","Luxembourg","Median age of population","38.6",""
"2008","Luxembourg","Proportion of population aged 0-19 years","24.1",""
"2008","Luxembourg","Proportion of population aged 20-39 years","28.3",""
"2008","Luxembourg","Proportion of population aged 40-59 years","29.0",""
"2008","Luxembourg","Proportion of population aged 60-79 years","15.3",""
"2008","Luxembourg","Proportion of population aged 80 years and more","3.4",""
"2008","Hungary","Median age of population","39.4",""
"2008","Hungary","Proportion of population aged 0-19 years","21.2",""
"2008","Hungary","Proportion of population aged 20-39 years","29.7",""
"2008","Hungary","Proportion of population aged 40-59 years","27.3",""
"2008","Hungary","Proportion of population aged 60-79 years","18.1",""
"2008","Hungary","Proportion of population aged 80 years and more","3.7",""
"2008","Malta","Median age of population","39.3",""
"2008","Malta","Proportion of population aged 0-19 years","23.0",""
"2008","Malta","Proportion of population aged 20-39 years","27.8",""
"2008","Malta","Proportion of population aged 40-59 years","28.3",""
"2008","Malta","Proportion of population aged 60-79 years","17.6",""
"2008","Malta","Proportion of population aged 80 years and more","3.2",""
"2008","Netherlands","Median age of population","40.0",""
"2008","Netherlands","Proportion of population aged 0-19 years","24.0",""
"2008","Netherlands","Proportion of population aged 20-39 years","26.0",""
"2008","Netherlands","Proportion of population aged 40-59 years","29.2",""
"2008","Netherlands","Proportion of population aged 60-79 years","17.0",""
"2008","Netherlands","Proportion of population aged 80 years and more","3.8",""
"2008","Austria","Median age of population","40.9",""
"2008","Austria","Proportion of population aged 0-19 years","21.4",""
"2008","Austria","Proportion of population aged 20-39 years","27.1",""
"2008","Austria","Proportion of population aged 40-59 years","29.1",""
"2008","Austria","Proportion of population aged 60-79 years","17.8",""
"2008","Austria","Proportion of population aged 80 years and more","4.6",""
"2008","Poland","Median age of population","37.3",""
"2008","Poland","Proportion of population aged 0-19 years","22.6",""
"2008","Poland","Proportion of population aged 20-39 years","30.9",""
"2008","Poland","Proportion of population aged 40-59 years","28.5",""
"2008","Poland","Proportion of population aged 60-79 years","15.1",""
"2008","Poland","Proportion of population aged 80 years and more","3.0",""
"2008","Portugal","Median age of population","40.4",""
"2008","Portugal","Proportion of population aged 0-19 years","21.1",""
"2008","Portugal","Proportion of population aged 20-39 years","28.4",""
"2008","Portugal","Proportion of population aged 40-59 years","27.3",""
"2008","Portugal","Proportion of population aged 60-79 years","18.9",""
"2008","Portugal","Proportion of population aged 80 years and more","4.3",""
"2008","Romania","Median age of population","38.7",""
"2008","Romania","Proportion of population aged 0-19 years","22.7",""
"2008","Romania","Proportion of population aged 20-39 years","29.1",""
"2008","Romania","Proportion of population aged 40-59 years","27.0",""
"2008","Romania","Proportion of population aged 60-79 years","18.2",""
"2008","Romania","Proportion of population aged 80 years and more","3.0",""
"2008","Slovenia","Median age of population","41.0","b"
"2008","Slovenia","Proportion of population aged 0-19 years","19.6","b"
"2008","Slovenia","Proportion of population aged 20-39 years","28.8","b"
"2008","Slovenia","Proportion of population aged 40-59 years","30.2","b"
"2008","Slovenia","Proportion of population aged 60-79 years","17.8","b"
"2008","Slovenia","Proportion of population aged 80 years and more","3.6","b"
"2008","Slovakia","Median age of population","36.3",""
"2008","Slovakia","Proportion of population aged 0-19 years","23.1",""
"2008","Slovakia","Proportion of population aged 20-39 years","31.9",""
"2008","Slovakia","Proportion of population aged 40-59 years","28.2",""
"2008","Slovakia","Proportion of population aged 60-79 years","14.2",""
"2008","Slovakia","Proportion of population aged 80 years and more","2.6",""
"2008","Finland","Median age of population","41.5",""
"2008","Finland","Proportion of population aged 0-19 years","23.1",""
"2008","Finland","Proportion of population aged 20-39 years","24.7",""
"2008","Finland","Proportion of population aged 40-59 years","29.0",""
"2008","Finland","Proportion of population aged 60-79 years","18.8",""
"2008","Finland","Proportion of population aged 80 years and more","4.3",""
"2008","Sweden","Median age of population","40.6",""
"2008","Sweden","Proportion of population aged 0-19 years","23.7",""
"2008","Sweden","Proportion of population aged 20-39 years","25.4",""
"2008","Sweden","Proportion of population aged 40-59 years","26.6",""
"2008","Sweden","Proportion of population aged 60-79 years","18.9",""
"2008","Sweden","Proportion of population aged 80 years and more","5.3",""
"2008","United Kingdom","Median age of population","39.1",""
"2008","United Kingdom","Proportion of population aged 0-19 years","24.2",""
"2008","United Kingdom","Proportion of population aged 20-39 years","27.2",""
"2008","United Kingdom","Proportion of population aged 40-59 years","26.8",""
"2008","United Kingdom","Proportion of population aged 60-79 years","17.3",""
"2008","United Kingdom","Proportion of population aged 80 years and more","4.4",""
"2009","European Union (current composition)","Median age of population","40.7",""
"2009","European Union (current composition)","Proportion of population aged 0-19 years","21.6",""
"2009","European Union (current composition)","Proportion of population aged 20-39 years","27.3",""
"2009","European Union (current composition)","Proportion of population aged 40-59 years","28.2",""
"2009","European Union (current composition)","Proportion of population aged 60-79 years","18.4",""
"2009","European Union (current composition)","Proportion of population aged 80 years and more","4.5",""
"2009","Belgium","Median age of population","40.8",""
"2009","Belgium","Proportion of population aged 0-19 years","23.0",""
"2009","Belgium","Proportion of population aged 20-39 years","25.9",""
"2009","Belgium","Proportion of population aged 40-59 years","28.3",""
"2009","Belgium","Proportion of population aged 60-79 years","18.0",""
"2009","Belgium","Proportion of population aged 80 years and more","4.8",""
"2009","Bulgaria","Median age of population","42.0",""
"2009","Bulgaria","Proportion of population aged 0-19 years","19.0",""
"2009","Bulgaria","Proportion of population aged 20-39 years","28.3",""
"2009","Bulgaria","Proportion of population aged 40-59 years","28.1",""
"2009","Bulgaria","Proportion of population aged 60-79 years","20.9",""
"2009","Bulgaria","Proportion of population aged 80 years and more","3.8",""
"2009","Czech Republic","Median age of population","39.4",""
"2009","Czech Republic","Proportion of population aged 0-19 years","20.2",""
"2009","Czech Republic","Proportion of population aged 20-39 years","30.6",""
"2009","Czech Republic","Proportion of population aged 40-59 years","27.4",""
"2009","Czech Republic","Proportion of population aged 60-79 years","18.3",""
"2009","Czech Republic","Proportion of population aged 80 years and more","3.5",""
"2009","Denmark","Median age of population","40.3",""
"2009","Denmark","Proportion of population aged 0-19 years","24.5",""
"2009","Denmark","Proportion of population aged 20-39 years","25.0",""
"2009","Denmark","Proportion of population aged 40-59 years","27.7",""
"2009","Denmark","Proportion of population aged 60-79 years","18.6",""
"2009","Denmark","Proportion of population aged 80 years and more","4.1",""
"2009","Germany including former GDR","Median age of population","43.7",""
"2009","Germany including former GDR","Proportion of population aged 0-19 years","19.0",""
"2009","Germany including former GDR","Proportion of population aged 20-39 years","24.6",""
"2009","Germany including former GDR","Proportion of population aged 40-59 years","30.8",""
"2009","Germany including former GDR","Proportion of population aged 60-79 years","20.6",""
"2009","Germany including former GDR","Proportion of population aged 80 years and more","5.0",""
"2009","Estonia","Median age of population","39.9",""
"2009","Estonia","Proportion of population aged 0-19 years","21.5",""
"2009","Estonia","Proportion of population aged 20-39 years","28.6",""
"2009","Estonia","Proportion of population aged 40-59 years","27.2",""
"2009","Estonia","Proportion of population aged 60-79 years","18.8",""
"2009","Estonia","Proportion of population aged 80 years and more","3.9",""
"2009","Ireland","Median age of population","33.6",""
"2009","Ireland","Proportion of population aged 0-19 years","27.1",""
"2009","Ireland","Proportion of population aged 20-39 years","32.9",""
"2009","Ireland","Proportion of population aged 40-59 years","24.5",""
"2009","Ireland","Proportion of population aged 60-79 years","12.8",""
"2009","Ireland","Proportion of population aged 80 years and more","2.7",""
"2009","Greece","Median age of population","40.7",""
"2009","Greece","Proportion of population aged 0-19 years","20.1",""
"2009","Greece","Proportion of population aged 20-39 years","28.8",""
"2009","Greece","Proportion of population aged 40-59 years","26.7",""
"2009","Greece","Proportion of population aged 60-79 years","19.7",""
"2009","Greece","Proportion of population aged 80 years and more","4.7",""
"2009","Spain","Median age of population","39.4",""
"2009","Spain","Proportion of population aged 0-19 years","19.8",""
"2009","Spain","Proportion of population aged 20-39 years","31.1",""
"2009","Spain","Proportion of population aged 40-59 years","27.3",""
"2009","Spain","Proportion of population aged 60-79 years","17.1",""
"2009","Spain","Proportion of population aged 80 years and more","4.7",""
"2009","France","Median age of population","39.6",""
"2009","France","Proportion of population aged 0-19 years","24.8",""
"2009","France","Proportion of population aged 20-39 years","25.8",""
"2009","France","Proportion of population aged 40-59 years","27.2",""
"2009","France","Proportion of population aged 60-79 years","17.1",""
"2009","France","Proportion of population aged 80 years and more","5.1",""
"2009","Croatia","Median age of population","41.7",""
"2009","Croatia","Proportion of population aged 0-19 years","21.2",""
"2009","Croatia","Proportion of population aged 20-39 years","26.5",""
"2009","Croatia","Proportion of population aged 40-59 years","29.1",""
"2009","Croatia","Proportion of population aged 60-79 years","19.8",""
"2009","Croatia","Proportion of population aged 80 years and more","3.5",""
"2009","Italy","Median age of population","43.0",""
"2009","Italy","Proportion of population aged 0-19 years","19.0",""
"2009","Italy","Proportion of population aged 20-39 years","26.1",""
"2009","Italy","Proportion of population aged 40-59 years","28.6",""
"2009","Italy","Proportion of population aged 60-79 years","20.7",""
"2009","Italy","Proportion of population aged 80 years and more","5.6",""
"2009","Cyprus","Median age of population","35.5",""
"2009","Cyprus","Proportion of population aged 0-19 years","25.5",""
"2009","Cyprus","Proportion of population aged 20-39 years","30.9",""
"2009","Cyprus","Proportion of population aged 40-59 years","26.2",""
"2009","Cyprus","Proportion of population aged 60-79 years","14.6",""
"2009","Cyprus","Proportion of population aged 80 years and more","2.8",""
"2009","Latvia","Median age of population","40.2",""
"2009","Latvia","Proportion of population aged 0-19 years","21.0",""
"2009","Latvia","Proportion of population aged 20-39 years","28.6",""
"2009","Latvia","Proportion of population aged 40-59 years","27.4",""
"2009","Latvia","Proportion of population aged 60-79 years","19.2",""
"2009","Latvia","Proportion of population aged 80 years and more","3.8",""
"2009","Lithuania","Median age of population","39.9",""
"2009","Lithuania","Proportion of population aged 0-19 years","22.6",""
"2009","Lithuania","Proportion of population aged 20-39 years","27.5",""
"2009","Lithuania","Proportion of population aged 40-59 years","27.9",""
"2009","Lithuania","Proportion of population aged 60-79 years","18.2",""
"2009","Lithuania","Proportion of population aged 80 years and more","3.8",""
"2009","Luxembourg","Median age of population","38.7",""
"2009","Luxembourg","Proportion of population aged 0-19 years","23.9",""
"2009","Luxembourg","Proportion of population aged 20-39 years","28.2",""
"2009","Luxembourg","Proportion of population aged 40-59 years","29.1",""
"2009","Luxembourg","Proportion of population aged 60-79 years","15.3",""
"2009","Luxembourg","Proportion of population aged 80 years and more","3.5",""
"2009","Hungary","Median age of population","39.6",""
"2009","Hungary","Proportion of population aged 0-19 years","21.0",""
"2009","Hungary","Proportion of population aged 20-39 years","29.6",""
"2009","Hungary","Proportion of population aged 40-59 years","27.3",""
"2009","Hungary","Proportion of population aged 60-79 years","18.3",""
"2009","Hungary","Proportion of population aged 80 years and more","3.8",""
"2009","Malta","Median age of population","39.5",""
"2009","Malta","Proportion of population aged 0-19 years","22.5",""
"2009","Malta","Proportion of population aged 20-39 years","28.1",""
"2009","Malta","Proportion of population aged 40-59 years","27.8",""
"2009","Malta","Proportion of population aged 60-79 years","18.3",""
"2009","Malta","Proportion of population aged 80 years and more","3.3",""
"2009","Netherlands","Median age of population","40.3",""
"2009","Netherlands","Proportion of population aged 0-19 years","23.9",""
"2009","Netherlands","Proportion of population aged 20-39 years","25.7",""
"2009","Netherlands","Proportion of population aged 40-59 years","29.2",""
"2009","Netherlands","Proportion of population aged 60-79 years","17.5",""
"2009","Netherlands","Proportion of population aged 80 years and more","3.8",""
"2009","Austria","Median age of population","41.2",""
"2009","Austria","Proportion of population aged 0-19 years","21.2",""
"2009","Austria","Proportion of population aged 20-39 years","26.7",""
"2009","Austria","Proportion of population aged 40-59 years","29.4",""
"2009","Austria","Proportion of population aged 60-79 years","18.0",""
"2009","Austria","Proportion of population aged 80 years and more","4.7",""
"2009","Poland","Median age of population","37.5",""
"2009","Poland","Proportion of population aged 0-19 years","22.2",""
"2009","Poland","Proportion of population aged 20-39 years","31.1",""
"2009","Poland","Proportion of population aged 40-59 years","28.2",""
"2009","Poland","Proportion of population aged 60-79 years","15.4",""
"2009","Poland","Proportion of population aged 80 years and more","3.1",""
"2009","Portugal","Median age of population","40.8",""
"2009","Portugal","Proportion of population aged 0-19 years","20.9",""
"2009","Portugal","Proportion of population aged 20-39 years","27.9",""
"2009","Portugal","Proportion of population aged 40-59 years","27.5",""
"2009","Portugal","Proportion of population aged 60-79 years","19.2",""
"2009","Portugal","Proportion of population aged 80 years and more","4.5",""
"2009","Romania","Median age of population","40.1",""
"2009","Romania","Proportion of population aged 0-19 years","21.4",""
"2009","Romania","Proportion of population aged 20-39 years","28.5",""
"2009","Romania","Proportion of population aged 40-59 years","27.9",""
"2009","Romania","Proportion of population aged 60-79 years","18.6",""
"2009","Romania","Proportion of population aged 80 years and more","3.6",""
"2009","Slovenia","Median age of population","41.2",""
"2009","Slovenia","Proportion of population aged 0-19 years","19.3",""
"2009","Slovenia","Proportion of population aged 20-39 years","28.9",""
"2009","Slovenia","Proportion of population aged 40-59 years","30.2",""
"2009","Slovenia","Proportion of population aged 60-79 years","17.9",""
"2009","Slovenia","Proportion of population aged 80 years and more","3.8",""
"2009","Slovakia","Median age of population","36.6",""
"2009","Slovakia","Proportion of population aged 0-19 years","22.6",""
"2009","Slovakia","Proportion of population aged 20-39 years","32.0",""
"2009","Slovakia","Proportion of population aged 40-59 years","28.1",""
"2009","Slovakia","Proportion of population aged 60-79 years","14.6",""
"2009","Slovakia","Proportion of population aged 80 years and more","2.7",""
"2009","Finland","Median age of population","41.8",""
"2009","Finland","Proportion of population aged 0-19 years","23.0",""
"2009","Finland","Proportion of population aged 20-39 years","24.6",""
"2009","Finland","Proportion of population aged 40-59 years","28.6",""
"2009","Finland","Proportion of population aged 60-79 years","19.3",""
"2009","Finland","Proportion of population aged 80 years and more","4.5",""
"2009","Sweden","Median age of population","40.7",""
"2009","Sweden","Proportion of population aged 0-19 years","23.6",""
"2009","Sweden","Proportion of population aged 20-39 years","25.4",""
"2009","Sweden","Proportion of population aged 40-59 years","26.4",""
"2009","Sweden","Proportion of population aged 60-79 years","19.2",""
"2009","Sweden","Proportion of population aged 80 years and more","5.3",""
"2009","United Kingdom","Median age of population","39.2",""
"2009","United Kingdom","Proportion of population aged 0-19 years","24.1",""
"2009","United Kingdom","Proportion of population aged 20-39 years","27.0",""
"2009","United Kingdom","Proportion of population aged 40-59 years","26.8",""
"2009","United Kingdom","Proportion of population aged 60-79 years","17.6",""
"2009","United Kingdom","Proportion of population aged 80 years and more","4.5",""
"2010","European Union (current composition)","Median age of population","41.0","b"
"2010","European Union (current composition)","Proportion of population aged 0-19 years","21.5","b"
"2010","European Union (current composition)","Proportion of population aged 20-39 years","27.0","b"
"2010","European Union (current composition)","Proportion of population aged 40-59 years","28.3","b"
"2010","European Union (current composition)","Proportion of population aged 60-79 years","18.6","b"
"2010","European Union (current composition)","Proportion of population aged 80 years and more","4.7","b"
"2010","Belgium","Median age of population","40.9",""
"2010","Belgium","Proportion of population aged 0-19 years","22.9",""
"2010","Belgium","Proportion of population aged 20-39 years","25.8",""
"2010","Belgium","Proportion of population aged 40-59 years","28.3",""
"2010","Belgium","Proportion of population aged 60-79 years","18.1",""
"2010","Belgium","Proportion of population aged 80 years and more","4.9",""
"2010","Bulgaria","Median age of population","42.2",""
"2010","Bulgaria","Proportion of population aged 0-19 years","18.7",""
"2010","Bulgaria","Proportion of population aged 20-39 years","28.1",""
"2010","Bulgaria","Proportion of population aged 40-59 years","28.0",""
"2010","Bulgaria","Proportion of population aged 60-79 years","21.3",""
"2010","Bulgaria","Proportion of population aged 80 years and more","3.9",""
"2010","Czech Republic","Median age of population","39.6",""
"2010","Czech Republic","Proportion of population aged 0-19 years","20.1",""
"2010","Czech Republic","Proportion of population aged 20-39 years","30.5",""
"2010","Czech Republic","Proportion of population aged 40-59 years","27.2",""
"2010","Czech Republic","Proportion of population aged 60-79 years","18.7",""
"2010","Czech Republic","Proportion of population aged 80 years and more","3.6",""
"2010","Denmark","Median age of population","40.5",""
"2010","Denmark","Proportion of population aged 0-19 years","24.4",""
"2010","Denmark","Proportion of population aged 20-39 years","24.9",""
"2010","Denmark","Proportion of population aged 40-59 years","27.6",""
"2010","Denmark","Proportion of population aged 60-79 years","18.9",""
"2010","Denmark","Proportion of population aged 80 years and more","4.1",""
"2010","Germany including former GDR","Median age of population","44.2",""
"2010","Germany including former GDR","Proportion of population aged 0-19 years","18.8",""
"2010","Germany including former GDR","Proportion of population aged 20-39 years","24.3",""
"2010","Germany including former GDR","Proportion of population aged 40-59 years","31.0",""
"2010","Germany including former GDR","Proportion of population aged 60-79 years","20.8",""
"2010","Germany including former GDR","Proportion of population aged 80 years and more","5.1",""
"2010","Estonia","Median age of population","40.1",""
"2010","Estonia","Proportion of population aged 0-19 years","21.1",""
"2010","Estonia","Proportion of population aged 20-39 years","28.7",""
"2010","Estonia","Proportion of population aged 40-59 years","27.1",""
"2010","Estonia","Proportion of population aged 60-79 years","19.0",""
"2010","Estonia","Proportion of population aged 80 years and more","4.1",""
"2010","Ireland","Median age of population","34.0",""
"2010","Ireland","Proportion of population aged 0-19 years","27.3",""
"2010","Ireland","Proportion of population aged 20-39 years","32.1",""
"2010","Ireland","Proportion of population aged 40-59 years","24.7",""
"2010","Ireland","Proportion of population aged 60-79 years","13.2",""
"2010","Ireland","Proportion of population aged 80 years and more","2.7",""
"2010","Greece","Median age of population","41.1",""
"2010","Greece","Proportion of population aged 0-19 years","19.9",""
"2010","Greece","Proportion of population aged 20-39 years","28.4",""
"2010","Greece","Proportion of population aged 40-59 years","27.0",""
"2010","Greece","Proportion of population aged 60-79 years","19.8",""
"2010","Greece","Proportion of population aged 80 years and more","4.9",""
"2010","Spain","Median age of population","39.9",""
"2010","Spain","Proportion of population aged 0-19 years","19.8",""
"2010","Spain","Proportion of population aged 20-39 years","30.4",""
"2010","Spain","Proportion of population aged 40-59 years","27.7",""
"2010","Spain","Proportion of population aged 60-79 years","17.2",""
"2010","Spain","Proportion of population aged 80 years and more","4.9",""
"2010","France","Median age of population","39.8",""
"2010","France","Proportion of population aged 0-19 years","24.8",""
"2010","France","Proportion of population aged 20-39 years","25.5",""
"2010","France","Proportion of population aged 40-59 years","27.1",""
"2010","France","Proportion of population aged 60-79 years","17.4",""
"2010","France","Proportion of population aged 80 years and more","5.2",""
"2010","Croatia","Median age of population","41.9",""
"2010","Croatia","Proportion of population aged 0-19 years","21.1",""
"2010","Croatia","Proportion of population aged 20-39 years","26.4",""
"2010","Croatia","Proportion of population aged 40-59 years","28.9",""
"2010","Croatia","Proportion of population aged 60-79 years","19.9",""
"2010","Croatia","Proportion of population aged 80 years and more","3.7",""
"2010","Italy","Median age of population","43.3",""
"2010","Italy","Proportion of population aged 0-19 years","19.0",""
"2010","Italy","Proportion of population aged 20-39 years","25.5",""
"2010","Italy","Proportion of population aged 40-59 years","28.8",""
"2010","Italy","Proportion of population aged 60-79 years","20.8",""
"2010","Italy","Proportion of population aged 80 years and more","5.8",""
"2010","Cyprus","Median age of population","35.6",""
"2010","Cyprus","Proportion of population aged 0-19 years","25.0",""
"2010","Cyprus","Proportion of population aged 20-39 years","31.4",""
"2010","Cyprus","Proportion of population aged 40-59 years","25.9",""
"2010","Cyprus","Proportion of population aged 60-79 years","14.9",""
"2010","Cyprus","Proportion of population aged 80 years and more","2.8",""
"2010","Latvia","Median age of population","40.8",""
"2010","Latvia","Proportion of population aged 0-19 years","20.6",""
"2010","Latvia","Proportion of population aged 20-39 years","28.4",""
"2010","Latvia","Proportion of population aged 40-59 years","27.5",""
"2010","Latvia","Proportion of population aged 60-79 years","19.5",""
"2010","Latvia","Proportion of population aged 80 years and more","4.0",""
"2010","Lithuania","Median age of population","40.3",""
"2010","Lithuania","Proportion of population aged 0-19 years","22.3",""
"2010","Lithuania","Proportion of population aged 20-39 years","27.2",""
"2010","Lithuania","Proportion of population aged 40-59 years","28.1",""
"2010","Lithuania","Proportion of population aged 60-79 years","18.4",""
"2010","Lithuania","Proportion of population aged 80 years and more","4.1",""
"2010","Luxembourg","Median age of population","38.9",""
"2010","Luxembourg","Proportion of population aged 0-19 years","23.7",""
"2010","Luxembourg","Proportion of population aged 20-39 years","28.1",""
"2010","Luxembourg","Proportion of population aged 40-59 years","29.3",""
"2010","Luxembourg","Proportion of population aged 60-79 years","15.3",""
"2010","Luxembourg","Proportion of population aged 80 years and more","3.6",""
"2010","Hungary","Median age of population","39.8",""
"2010","Hungary","Proportion of population aged 0-19 years","20.8",""
"2010","Hungary","Proportion of population aged 20-39 years","29.5",""
"2010","Hungary","Proportion of population aged 40-59 years","27.2",""
"2010","Hungary","Proportion of population aged 60-79 years","18.6",""
"2010","Hungary","Proportion of population aged 80 years and more","3.9",""
"2010","Malta","Median age of population","39.7",""
"2010","Malta","Proportion of population aged 0-19 years","21.9",""
"2010","Malta","Proportion of population aged 20-39 years","28.4",""
"2010","Malta","Proportion of population aged 40-59 years","27.3",""
"2010","Malta","Proportion of population aged 60-79 years","19.0",""
"2010","Malta","Proportion of population aged 80 years and more","3.3",""
"2010","Netherlands","Median age of population","40.6",""
"2010","Netherlands","Proportion of population aged 0-19 years","23.7",""
"2010","Netherlands","Proportion of population aged 20-39 years","25.3",""
"2010","Netherlands","Proportion of population aged 40-59 years","29.2",""
"2010","Netherlands","Proportion of population aged 60-79 years","17.9",""
"2010","Netherlands","Proportion of population aged 80 years and more","3.9",""
"2010","Austria","Median age of population","41.6",""
"2010","Austria","Proportion of population aged 0-19 years","20.9",""
"2010","Austria","Proportion of population aged 20-39 years","26.4",""
"2010","Austria","Proportion of population aged 40-59 years","29.7",""
"2010","Austria","Proportion of population aged 60-79 years","18.2",""
"2010","Austria","Proportion of population aged 80 years and more","4.8",""
"2010","Poland","Median age of population","37.9","b"
"2010","Poland","Proportion of population aged 0-19 years","21.9","b"
"2010","Poland","Proportion of population aged 20-39 years","30.8","b"
"2010","Poland","Proportion of population aged 40-59 years","28.1","b"
"2010","Poland","Proportion of population aged 60-79 years","15.9","b"
"2010","Poland","Proportion of population aged 80 years and more","3.3","b"
"2010","Portugal","Median age of population","41.2",""
"2010","Portugal","Proportion of population aged 0-19 years","20.7",""
